LD_Name,ND-LD_psnr,box_psnr,gaus_psnr,sharp_psnr,med_psnr,NDvsLD,Dict_PSNR,ND-dict_reconstruction
L192_QD_3_1.CT.0003.0001.2015.12.22.20.43.31.862066.358698060.IMA,21.31102960632456,19.64641877263012,20.962597359596828,8.602055013044788,21.79212908214804,21.311029606324556,21.872189337514747,3.5580578114563908
L192_QD_3_1.CT.0003.0002.2015.12.22.20.43.31.862066.358698084.IMA,21.03069383261876,19.4242783391995,20.724998034530792,8.356018752017974,21.37829093235601,21.03069383261876,21.643887152106632,3.2099751635587457
L192_QD_3_1.CT.0003.0003.2015.12.22.20.43.31.862066.358698108.IMA,21.405967931246742,19.393480498048824,20.77591045729976,8.425012629278243,21.251769593695823,21.405967931246742,21.987578102028877,3.2927388201837307
L192_QD_3_1.CT.0003.0004.2015.12.22.20.43.31.862066.358698132.IMA,21.602413693932697,19.319951958087323,20.75353435891929,8.385834697763658,20.96951071985588,21.602413693932697,22.0464802737002,2.646650914930738
L192_QD_3_1.CT.0003.0005.2015.12.22.20.43.31.862066.358698156.IMA,21.366068030532222,19.17606780446046,20.58800713718911,8.205688351295446,20.948859896384207,21.366068030532226,21.766063235249433,2.612526418218015
L192_QD_3_1.CT.0003.0006.2015.12.22.20.43.31.862066.358698180.IMA,21.927854862205827,19.59972463621712,21.05000972842558,8.656788729407163,21.37676682782127,21.927854862205827,22.4715111424009,2.5186676496470803
L192_QD_3_1.CT.0003.0007.2015.12.22.20.43.31.862066.358698204.IMA,22.052228025089367,19.897227881378463,21.315223085388155,8.916312780692802,21.843726074057308,22.052228025089367,22.685698893899303,2.955687760341817
L192_QD_3_1.CT.0003.0008.2015.12.22.20.43.31.862066.358698228.IMA,21.99013511562718,20.09152634854957,21.45828011435129,9.060670765675123,22.25527663266977,21.99013511562718,22.60012207892325,4.414510173701528
L192_QD_3_1.CT.0003.0009.2015.12.22.20.43.31.862066.358698252.IMA,22.59387554155961,20.357621282624567,21.79227751204412,9.40627659889495,22.687655238580344,22.593875541559612,23.16928121100713,3.7882818661036874
L192_QD_3_1.CT.0003.0010.2015.12.22.20.43.31.862066.358698276.IMA,22.63352195061028,20.26309862705355,21.736610568207663,9.287216475981827,22.44082868765993,22.63352195061028,23.052025981306276,2.849444087446537
